time_{time_begin}/{time_end}/{time_step},values,longitude,latitude,scenario_en,scenario_fr,time_res_en,time_res_fr,value_type_en,value_type_fr,percentile_en,percentile_fr,variable_en,variable_fr,uom
2006,9.172945022583008,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2007,9.528680801391602,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2008,9.609190940856934,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2009,9.877727508544922,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2010,9.849100112915039,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2011,9.704848289489746,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2012,9.248981475830078,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2013,9.921854019165039,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2014,9.61844539642334,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2015,9.520830154418945,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2016,10.02140998840332,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2017,9.57516098022461,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2018,10.062837600708008,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2019,9.942506790161133,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2020,9.546220779418945,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2021,9.780531883239746,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2022,10.081491470336914,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2023,9.73216438293457,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2024,9.911696434020996,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2025,9.881954193115234,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2026,10.329105377197266,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2027,10.271038055419922,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2028,10.262808799743652,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2029,9.857950210571289,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2030,10.502115249633789,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2031,10.75845718383789,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2032,10.60610580444336,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2033,10.477355003356934,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2034,10.533698081970215,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2035,10.613275527954102,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2036,10.652045249938965,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2037,10.665523529052734,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2038,10.98013687133789,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2039,10.442852020263672,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2040,10.568857192993164,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2041,11.04910659790039,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2042,10.798067092895508,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2043,11.024519920349121,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2044,10.919412612915039,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2045,10.757771492004395,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2046,11.070904731750488,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2047,11.445294380187988,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2048,11.462884902954102,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2049,11.465224266052246,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2050,11.307616233825684,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2051,11.720874786376953,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2052,11.010855674743652,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2053,11.625354766845703,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2054,11.95572566986084,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2055,11.764932632446289,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2056,11.60446834564209,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2057,11.369699478149414,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2058,11.846295356750488,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2059,11.767401695251465,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2060,11.64279842376709,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2061,11.997262954711914,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2062,11.87728500366211,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2063,11.999139785766602,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2064,11.983952522277832,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2065,12.384665489196777,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2066,12.450392723083496,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2067,12.649347305297852,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2068,12.686827659606934,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2069,12.806906700134277,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2070,12.785396575927734,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2071,12.941211700439453,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2072,12.718489646911621,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2073,12.77652645111084,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2074,13.18359088897705,-63.599,44.642,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
