time_{time_begin}/{time_end}/{time_step},values,longitude,latitude,scenario_en,scenario_fr,time_res_en,time_res_fr,value_type_en,value_type_fr,percentile_en,percentile_fr,variable_en,variable_fr,uom
2006,7.84195613861084,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2007,7.883923053741455,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2008,8.016389846801758,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2009,8.125917434692383,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2010,7.769181728363037,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2011,8.473044395446777,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2012,8.375502586364746,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2013,8.097871780395508,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2014,8.657367706298828,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2015,7.956351280212402,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2016,8.488916397094727,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2017,8.791388511657715,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2018,8.485915184020996,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2019,8.411752700805664,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2020,8.347990989685059,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2021,8.428218841552734,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2022,8.236787796020508,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2023,8.365126609802246,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2024,8.584346771240234,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2025,8.384675979614258,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2026,8.602660179138184,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2027,8.643198013305664,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2028,8.868181228637695,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2029,8.696496963500977,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2030,9.26072883605957,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2031,8.951170921325684,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2032,8.702486038208008,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2033,8.90285873413086,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2034,9.226564407348633,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2035,9.429437637329102,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2036,9.348912239074707,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2037,9.487894058227539,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2038,9.304086685180664,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2039,9.487245559692383,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2040,9.371456146240234,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2041,9.250093460083008,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2042,9.89616584777832,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2043,9.593027114868164,-79.386,43.66,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
